country,gangues
United States,"Albite,Calcite,Magnetite,Pyrite,Pyrrhotite,Quartz,Rutile,Ankerite,Dolomite,Talc,Phlogopite,Gypsum,Barite,Goethite,Rhodochrosite,Limonite,Limestone,Hematite,Jarosite,Chlorite,Sericite,Tourmaline,Fluorite,Muscovite,Clay,Apatite,Garnet,Halite,Galena,Huebnerite,Sphalerite,Topaz,Coal,Celestite,Chert,Alunite,Chalcedony,Marcasite,Opal,Pyrolusite,Diopside,Epidote,Wollastonite,Anhydrite,Illite,Serpentine,Chalcopyrite,Jasper,Aragonite,Plagioclase,Siderite,Ilsemannite,Wad,Actinolite,Biotite,Kaolinite,Montmorillonite,Turquoise,Tremolite,Malachite,Tetrahedrite,Molybdenite,Amethyst,Chrysocolla,Apophyllite,Labradorite,Laumontite,Prehnite,Feldspar,Cummingtonite,Stilpnomelane,Mica,Specularite,Orthoclase,Iron,Erythrite,Ilvaite,Grossularite,Graphite,Martite,Sphene,Microcline,Augite,Friedelite,Andradite,Hardystonite,Lead,Hedenbergite,Pumpellyite-(Mg),Silver,Datolite,Arsenic,Bentonite,Realgar,Stibnite,Sulfur,Gaylussite,Shortite,Northupite,Pirssonite,Nahcolite,Wegscheiderite,Arsenical Copper,Greenalite,Minnesotaite,Dickite,Orpiment,Rhodonite,Halloysite,Hornblende,Pyroxene,Annabergite,Dioptase,Linarite,Olivenite,Plumbojarosite,Pyromorphite,Caliche,Arsenopyrite,Sillimanite,Zircon,Lazulite,Pyrophyllite,Chalcocite,Olivine,Anthophyllite,Antigorite,Amphibole,Leucoxene,Scheelite,Cinnabar,Hubnerite,Chabazite,Getchellite,Galkhaite,Laffittite,Arsenolite,Guerinite,Haidingerite,Pharmacolite,Weilite,Coloradoite,Bismuthinite,Cassiterite,Ferrimolybdite,Covellite,Gold,Stibiconite,Adularia,Cacoxenite,Pharmacosiderite,Kaolin,Argentite,Silica,Amphibolite,Gneiss,Quartzite,Granite,Andesite,Shale"
Uzbekistan,"Ankerite,Calcite,Feldspar,Mica,Quartz,Tourmaline"
South Africa,"Calcite,Chondrodite,Diabase,Dolomite,Mica,Olivine,Phlogopite,Epidote,Prehnite,Sericite,Zoisite,Apatite,Barite,Biotite,Chlorite,Clinozoisite,Diopside,Garnet,Hornblende,Iddingsite,Microcline,Muscovite,Quartz,Sillimanite,Tourmaline,Zircon,Ilmenite,Shale,Clay,Cassiterite,Graphite,Rutile,Anorthosite,Chalcopyrite,Pentlandite,Pyrrhotite,Quartzite,Schist"
Russia,"Ankerite,Quartz,Tourmaline"
Zimbabwe,"Columbite,Tantalite"
Germany,"Calcite,Quartz"
Egypt,"Apatite,Chlorite,Muscovite,Barite,Chalcedony,Dolomite,Halite,Psilomelane,Quartz,Rhodochrosite,Hematite,Siderite"
Argentina,"Actinolite,Calcite,Chlorite,Diopside,Epidote,Garnet,Pyroxene,Quartz,Rhodonite,Scapolite,Tourmaline,Vesuvianite,Wollastonite"
Swaziland,"Talc"
Namibia,"Apatite,Sphene,Torbernite,Zircon,Dolomite,Quartz"
Italy,"Barite,Boulangerite,Dolomite,Marcasite,Pyrite,Quartz"
Guyana,"Clay,Kaolin"
Poland,"Calcite,Dolomite"
Mexico,"Alunite,Quartz,Tourmaline,Calcite,Chalcedony,Gypsum,Jasper,Montmorillonite,Actinolite,Epidote,Fluorite,Garnet,Hedenbergite,Hematite,Idocrase,Ilmenite,Ilvaite,Magnetite,Muscovite,Orthoclase,Pyrrhotite,Scapolite,Topaz,Tremolite,Fayalite,Limonite,Pyrite,Iron,Apatite,Albite,Chlorite,Feldspar,Sericite,Augite"
Venezuela,"Muscovite,Quartz,Sericite,Apatite,Pyroxene"
Malaysia,"Biotite,Pyrite,Pyrrhotite,Quartz"
Papua New Guinea,"Barite,Limonite,Quartz"
Philippines,"Chlorite,Epidote,Gypsum,Kaolinite,Montmorillonite,Pyrophyllite,Quartz,Galena,Magnetite,Sphalerite,Calcite,Chalcedony,Marcasite,Pyrite"
Bolivia,"Quartz,Apatite,Fluorite,Muscovite,Pyrite,Pyrrhotite"
Liberia,"Quartz"
Cuba,"Jasper,Hematite,Zeolite,Calcite"
Suriname,"Hematite,Kaolinite,Zircon"
India,"Quartz,Dolomite,Gypsum,Andalusite,Phyllite"
Turkey,"Calcite,Dolomite,Montmorillonite"
China,"Calcite,Chlorite,Dolomite,Pyrite,Quartz,Sericite"
Kazakhstan,"Clay,Gypsum,Quartz,Tourmaline"
France,"Quartz"
Japan,"Barite,Gypsum,Quartz,Ankerite,Calcite,Chlorite,Dolomite,Rhodochrosite,Epidote,Garnet,Wollastonite"
Canada,"Biotite,Fluorite,Magnetite,Scapolite"
Ireland,"Barite,Boulangerite,Bournonite,Calcite,Dolomite,Pyrrhotite,Quartz,Albite,Chlorite,Geocronite,Marcasite,Millerite,Pyrite,Siegenite"
Brazil,"Chlorite,Hematite,Ilmenite,Magnetite,Mica,Quartz,Apatite,Monazite,Talc,Tourmaline,Calcite,Dolomite,Olivine,Phlogopite,Pyroxene,Serpentine,Sphene,Barite,Limonite,Vermiculite,Forsterite,Hornblende,Albite,Goethite,Gypsum,Jarosite,Melanterite,Biotite"
Chile,"Anhydrite,Biotite,Gypsum,Pyrite,Specularite,Tourmaline,Ankerite,Barite,Calcite,Chlorite,Hematite,Limonite,Magnetite,Quartz,Rhodochrosite,Sericite,Jarosite,Natroalunite,Anglesite,Blodite,Epsomite,Halite,Mirabilite,Soda Niter,Wulfenite,Plagioclase,Dolomite,Epidote,Orthoclase"
Botswana,"Ilmenite,Phlogopite"
Sweden,"Apatite,Biotite,Calcite,Epidote,Hornblende,Quartz,Scapolite,Sericite,Tourmaline"
Spain,"Albite,Calcite,Quartz"
Australia,"Andalusite,Biotite,Feldspar,Muscovite,Quartz,Apatite,Calcite,Chalcopyrite,Fluorite,Garnet,Hedenbergite,Pyrrhotite,Rhodonite,Chert,Chlorite,Dolomite,Pyrite,Siderite,Talc,Ankerite,Anatase,Goethite,Hematite,Enstatite,Leucite,Olivine,Phlogopite,Magnetite,Sericite,Halloysite"
Colombia,"Albite,Apatite,Barite,Calcite,Dolomite,Fluorite,Limonite,Muscovite,Parisite,Pyrite,Sulfur"
Peru,"Calcite,Malachite,Actinolite,Barite,Diopside,Epidote,Garnet,Magnetite,Quartz,Scapolite,Siderite,Dolomite,Grossularite,Tremolite,Wollastonite,Pyrite,Tourmaline,Marcasite,Pyrrhotite"
Dominican Republic,"Albite,Alunite,Barite,Calcite,Chlorite,Diaspore,Epidote,Illite,Kaolinite,Pyrophyllite,Quartz,Siderite"
